municipio,total_focos,media_dias_sem_chuva,media_frp,indice_risco
SÃO JOSÉ DO RIO CLARO,839,7.134684147794994,69.82250608272506,0.8385125486647836
MARCELÂNDIA,858,25.512820512820515,38.119447779111646,0.8274183802395821
JABORANDI,826,30.242130750605327,50.13922046285018,0.8205188357631178
BENEDITO LEITE,789,23.24207858048162,34.148037889039244,0.7830692194660092
FLORIANO,690,16.807246376811595,39.8455772113943,0.7283955740204235
BRASNORTE,662,7.693353474320242,40.00826833073323,0.7095815023849215
SEBASTIÃO LEAL,624,27.84775641025641,52.076470588235296,0.7036558209060829
MIRACEMA DO TOCANTINS,622,22.456591639871384,37.972,0.688722822913132
LAGOA DO MATO,554,20.574007220216608,49.263567362428844,0.6582890542728018
BALSAS,564,26.595744680851062,18.977372262773724,0.6396205740283196
TABAPORÃ,556,7.991007194244604,26.404436229205174,0.6360400838443152
COCOS,524,9.874045801526718,34.13436893203884,0.6246068894992794
MATEIROS,468,26.96153846153846,30.537636761487967,0.5937295740344413
NOVA MARINGÁ,415,9.098795180722892,45.248514851485155,0.570416988617904
SANTA RITA DO TRIVELATO,425,7.748235294117647,31.865853658536587,0.5642714646982355
